timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1501240169.234164,0.040028,0.259895,-0.057099,0.558569,-0.304384,-0.226442,0.038674,-0.256979,-0.965643,0.030723,-0.003412,0.017965,-24.052370,-30.945255,5.567968,,,,,,,
,,,,,,,,,,,,,,,,1.302729,103.798443,9.847351,0.000000,0.000000,1501240169.999987,
1501240170.234004,-0.031059,0.338701,-0.127148,0.248647,0.164879,0.198011,-0.029290,-0.332262,-0.942732,-0.018729,0.030001,0.048659,-21.141882,-31.866524,10.230977,,,,,,,
,,,,,,,,,,,,,,,,1.302729,103.798443,9.559265,0.000000,0.000000,1501240170.999988,
1501240171.233885,-1.732099,0.073789,0.668432,4.301556,-5.816103,5.619231,-0.984333,-0.073722,0.160167,0.309498,0.752174,-0.075877,4.410129,-8.674316,38.372314,,,,,,,
1501240172.323720,-1.398786,-0.677544,1.157341,-0.218881,-0.369275,1.512207,-0.767617,0.626881,-0.133356,-0.382468,-0.155171,0.199564,-0.871963,9.750103,38.357563,,,,,,,
,,,,,,,,,,,,,,,,1.302715,103.798474,6.320038,0.400000,330.468750,1501240171.999988,
,,,,,,,,,,,,,,,,1.302715,103.798474,8.567932,0.000000,284.414062,1501240172.999987,
1501240173.323619,0.327705,-1.531743,-3.055152,0.045985,0.022076,-0.008503,0.012567,0.999238,-0.036966,0.136023,0.011611,0.061242,17.578238,3.166644,35.328533,,,,,,,
,,,,,,,,,,,,,,,,1.302708,103.798476,10.261414,0.400000,247.500000,1501240173.999987,
1501240174.323502,1.266462,-1.457727,-2.140406,-0.018263,-0.021296,-0.006104,0.107644,0.993614,-0.033810,0.011466,0.039741,0.004315,16.834515,0.948882,35.816563,,,,,,,
,,,,,,,,,,,,,,,,1.302708,103.798470,9.931824,0.410000,267.539062,1501240174.999987,
1501240175.323355,1.483433,-1.450886,-1.935633,0.002035,0.004160,0.007678,0.119167,0.992819,-0.010437,0.006413,0.034830,0.004685,16.365208,-0.037451,36.045887,,,,,,,
,,,,,,,,,,,,,,,,1.302713,103.798468,6.817047,0.620000,304.804688,1501240175.999988,
1501240176.323256,1.506523,-1.448116,-1.918752,-0.009661,0.000982,-0.006304,0.122120,0.992484,-0.007860,0.002284,0.036202,0.003176,16.134634,-0.152794,36.149380,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,9.216125,0.620000,304.804688,1501240176.999987,
1501240177.323109,1.482459,-1.445615,-1.947592,0.008394,0.005793,0.006032,0.124368,0.992175,-0.011015,0.004615,0.035810,-0.000658,15.971987,-0.057862,36.221817,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,9.308594,0.000000,304.804688,1501240177.999988,
1501240178.322994,1.564868,-1.448731,-1.857632,-0.018531,-0.013693,-0.008031,0.121760,0.992559,-0.000722,0.005987,0.034052,0.009114,16.214533,-0.399953,36.111721,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,10.639160,0.000000,350.507812,1501240178.999988,
1501240179.322933,1.585571,-1.445109,-1.860192,0.016690,0.023176,0.001350,0.125343,0.992112,0.001852,0.001045,0.034317,0.002100,15.386193,-0.474656,36.471455,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,10.639160,0.000000,350.507812,1501240178.999988,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.448425,0.000000,86.132812,1501240179.999987,
1501240180.322807,1.589150,-1.447336,-1.861372,-0.006869,0.001541,-0.005102,0.123126,0.992388,0.002260,0.004544,0.034223,0.004057,15.201509,-0.420560,36.549488,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.363831,0.000000,86.132812,1501240180.999989,
1501240181.322684,1.594000,-1.444984,-1.854388,0.001461,-0.002478,0.002283,0.125447,0.992096,0.002911,0.010005,0.035644,0.001910,15.274365,-0.492186,36.518200,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.308838,0.000000,86.132812,1501240181.999986,
1501240182.322549,1.598103,-1.445145,-1.851916,0.001320,0.003299,0.000203,0.125274,0.992116,0.003422,0.003785,0.037013,0.003750,15.217101,-0.498556,36.542019,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.250610,0.000000,86.132812,1501240182.999988,
1501240183.322398,1.621335,-1.447169,-1.830015,-0.000199,-0.029987,-0.003002,0.123155,0.992368,0.006229,0.006392,0.035601,0.003201,15.145866,-0.561757,36.570683,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.214661,0.000000,86.132812,1501240183.999987,
1501240184.322307,1.674795,-1.448077,-1.786162,-0.007741,-0.006751,-0.003945,0.121750,0.992480,0.012708,-0.014603,0.039030,0.009173,14.797484,-0.740587,36.709858,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.190369,0.000000,86.132812,1501240184.999987,
1501240185.322163,1.721465,-1.447225,-1.738166,-0.011914,0.016566,-0.004801,0.121861,0.992375,0.018501,0.001873,0.037517,0.004418,14.836657,-0.958348,36.688999,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.185608,0.000000,86.132812,1501240185.999988,
1501240186.322042,1.705906,-1.448230,-1.751961,0.015769,-0.005208,0.004899,0.121146,0.992498,0.016468,0.004892,0.037531,0.001308,14.899712,-0.891198,36.665134,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.174988,0.000000,86.132812,1501240186.999987,
1501240187.321909,1.557195,-1.443724,-1.890161,0.011501,-0.013951,0.004008,0.126719,0.991937,-0.001724,0.005986,0.037741,0.001266,15.317649,-0.352690,36.501682,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.701477,0.000000,86.132812,1501240187.999988,
1501240188.321770,1.533081,-1.442827,-1.912789,-0.002811,0.006508,-0.000254,0.127530,0.991823,-0.004812,0.005420,0.036589,0.002172,15.384862,-0.254639,36.474220,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.526550,0.000000,86.132812,1501240188.999987,
1501240189.321645,1.595221,-1.447635,-1.847810,-0.015416,-0.010021,-0.005691,0.122813,0.992425,0.003000,0.008092,0.034537,0.001562,15.466604,-0.476950,36.437401,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.423645,0.000000,86.132812,1501240189.999988,
1501240190.321507,1.687228,-1.448910,-1.760662,0.001223,0.002998,0.001736,0.120761,0.992581,0.014124,0.006146,0.034931,0.002721,15.271316,-0.832232,36.513309,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.329346,0.000000,86.132812,1501240190.999989,
1501240191.321352,1.712088,-1.448212,-1.737287,-0.001861,0.005268,-0.000206,0.121059,0.992496,0.017219,0.003666,0.034756,0.003410,15.210711,-0.943814,36.535885,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.266174,0.000000,86.132812,1501240191.999987,
1501240192.321215,1.691329,-1.448083,-1.759601,-0.005944,-0.005369,-0.005381,0.121517,0.992480,0.014718,0.001835,0.037015,-0.001794,15.156282,-0.856586,36.560642,,,,,,,
,,,,,,,,,,,,,,,,1.302716,103.798483,14.227173,0.000000,86.132812,1501240192.999988,
1501240193.321069,1.777415,-1.453543,-1.663442,0.000454,-0.018286,-0.002149,0.114497,0.993134,0.024000,0.006658,0.035110,0.006960,15.505108,-1.119900,36.406937,,,,,,,
